Mal_id,Score,Genres,Themes,Demographics
19647,8.59,"['Sports']","['Combat Sports']","['Shounen']"
31757,8.59,"['Action','Mystery','Supernatural']","['Vampire']","[]"
37991,8.58,"['Action','Adventure']","['Organized Crime']","['Shounen']"
32983,8.58,"['Drama','Slice of Life','Supernatural']","['Iyashikei','Mythology']","['Shoujo']"
10379,8.58,"['Drama','Slice of Life','Supernatural']","['Iyashikei','Mythology']","['Shoujo']"
28735,8.58,"['Drama']","['Historical','Love Polygon','Performing Arts']","['Josei']"
4565,8.57,"['Action','Sci-Fi']","['Mecha','Space','Super Power']","[]"
7785,8.57,"['Comedy','Mystery','Romance']","['Psychological','Time Travel']","[]"
11741,8.57,"['Action','Fantasy','Supernatural']","[]","[]"
40417,8.57,"['Drama','Romance','Supernatural']","[]","['Shoujo']"
36098,8.57,"['Drama','Romance','Slice of Life']","[]","[]"
40664,8.56,"[]","['Music','Performing Arts','School']","[]"
21329,8.55,"['Adventure','Fantasy','Mystery','Slice of Life','Supernatural']","['Historical','Iyashikei']","['Seinen']"
32,8.55,"['Avant Garde','Drama','Sci-Fi']","['Mecha','Psychological']","[]"
5300,8.55,"['Drama','Slice of Life','Supernatural']","['Iyashikei','Mythology']","['Shoujo']"
12365,8.55,"['Comedy','Drama','Romance']","['Otaku Culture']","['Shounen']"
38000,8.55,"['Action','Fantasy']","['Historical']","['Shounen']"
40776,8.54,"['Sports']","['School','Team Sports']","['Shounen']"
4282,8.54,"['Action','Drama','Mystery','Romance','Supernatural','Suspense']","[]","[]"
33,8.54,"['Action','Adventure','Drama','Fantasy','Horror','Supernatural']","['Gore','Military','Mythology']","['Seinen']"
170,8.54,"['Sports']","['School','Team Sports']","['Shounen']"
35839,8.54,"['Adventure','Comedy','Drama']","[]","[]"
37779,8.54,"['Mystery','Sci-Fi','Suspense']","['Psychological','Survival']","['Shounen']"
16498,8.53,"['Action','Drama']","['Gore','Military','Survival']","['Shounen']"
38474,8.53,"['Slice of Life']","['CGDCT','Iyashikei']","[]"
33049,8.53,"['Action','Fantasy','Supernatural']","[]","[]"
35843,8.53,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
48561,8.53,"['Action','Fantasy']","['School']","['Shounen']"
7472,8.52,"['Action','Comedy','Sci-Fi']","['Historical','Parody','Samurai']","['Shounen']"
801,8.52,"['Action','Mystery','Sci-Fi']","['Adult Cast','Detective','Mecha','Military']","['Seinen']"
877,8.52,"['Drama','Romance','Slice of Life']","['Adult Cast','Love Polygon','Music']","['Shoujo']"
437,8.52,"['Avant Garde','Drama','Horror']","['Adult Cast','Psychological','Showbiz']","[]"
30484,8.52,"['Drama','Sci-Fi','Suspense']","['Time Travel']","[]"
30276,8.51,"['Action','Comedy']","['Parody','Super Power']","['Seinen']"
12431,8.51,"['Comedy','Sci-Fi','Slice of Life']","['Adult Cast','Space','Workplace']","['Seinen']"
30654,8.51,"['Action','Comedy']","['School']","['Shounen']"
578,8.51,"['Drama']","['Historical']","[]"
3297,8.5,"['Fantasy','Sci-Fi','Slice of Life']","['Iyashikei']","['Shounen']"
36649,8.5,"['Action','Adventure','Drama']","['Delinquents']","['Shoujo']"
31933,8.5,"['Action','Adventure','Comedy','Drama','Supernatural']","[]","['Shounen']"
49721,8.5,"['Comedy']","['Iyashikei','Romantic Subtext','School']","['Shounen']"
205,8.5,"['Action','Adventure','Comedy']","['Historical','Samurai']","['Shounen']"
25777,8.5,"['Action','Drama']","['Gore','Military','Survival']","['Shounen']"
44070,8.5,"['Drama','Supernatural']","['Historical']","[]"
